sampleID	bioSampleID	dataset	target_gene	marker	molecule	accessions
SRR5462499	SAMN06806347	Xu	18S rRNA	V9	RNA	SRR5462499
SRR5462500	SAMN06806346	Xu	18S rRNA	V9	DNA	SRR5462500
SRR5462501	SAMN06806345	Xu	18S rRNA	V9	RNA	SRR5462501
SRR5462502	SAMN06806344	Xu	18S rRNA	V9	DNA	SRR5462502
SRR5462503	SAMN06806343	Xu	18S rRNA	V9	RNA	SRR5462503
SRR5462504	SAMN06806342	Xu	18S rRNA	V9	DNA	SRR5462504
SRR5462505	SAMN06806341	Xu	18S rRNA	V9	RNA	SRR5462505
SRR5462506	SAMN06806340	Xu	18S rRNA	V9	DNA	SRR5462506
SRR5462507	SAMN06806339	Xu	18S rRNA	V9	RNA	SRR5462507
SRR5462508	SAMN06806338	Xu	18S rRNA	V9	DNA	SRR5462508
SRR5462509	SAMN06806337	Xu	18S rRNA	V9	RNA	SRR5462509
SRR5462510	SAMN06806336	Xu	18S rRNA	V9	DNA	SRR5462510
SRR5462511	SAMN06806335	Xu	18S rRNA	V9	RNA	SRR5462511
SRR5462512	SAMN06806334	Xu	18S rRNA	V9	DNA	SRR5462512
SRR027415	SAMN00003639	Lie	18S rRNA	V9	RNA	SRR027415
SRR027416	SAMN00003640	Lie	18S rRNA	V9	DNA	SRR027416
SRR027417	SAMN00003641	Lie	18S rRNA	V9	RNA	SRR027417
SRR027418	SAMN00003642	Lie	18S rRNA	V9	DNA	SRR027418
SRR027419	SAMN00003643	Lie	18S rRNA	V9	RNA	SRR027419
SRR027420	SAMN00003644	Lie	18S rRNA	V9	DNA	SRR027420
SRR027421	SAMN00003645	Lie	18S rRNA	V9	RNA	SRR027421
SRR027422	SAMN00003646	Lie	18S rRNA	V9	DNA	SRR027422
SRR027423	SAMN00003647	Lie	18S rRNA	V9	RNA	SRR027423
SRR027424	SAMN00003648	Lie	18S rRNA	V9	DNA	SRR027424
SRR027425	SAMN00003649	Lie	18S rRNA	V9	RNA	SRR027425
SRR027426	SAMN00003650	Lie	18S rRNA	V9	DNA	SRR027426
SRR027427	SAMN00003651	Lie	18S rRNA	V9	RNA	SRR027427
SRR027428	SAMN00003652	Lie	18S rRNA	V9	DNA	SRR027428
SRR027429	SAMN00003653	Lie	18S rRNA	V9	RNA	SRR027429
SRR027430	SAMN00003654	Lie	18S rRNA	V9	DNA	SRR027430
